=== 系统日志记录开始于 2025/11/19 11:37:00 ===
[2025/11/19 11:42:58] 场景:Tunnel  | 视觉:83.5  | 车辆:62.0  | 预测:72.8
[2025/11/19 11:43:59] 场景:Flat    | 视觉:7.5   | 车辆:12.0  | 预测:8.4
[2025/11/19 11:44:04] 场景:Flat    | 视觉:7.5   | 车辆:12.0  | 预测:8.4
[2025/11/19 11:44:04] 场景:Flat    | 视觉:7.5   | 车辆:12.0  | 预测:8.4
[2025/11/19 11:44:28] 场景:Flat    | 视觉:7.5   | 车辆:12.0  | 预测:8.4
[2025/11/19 11:44:32] 场景:Flat    | 视觉:15.3  | 车辆:12.0  | 预测:14.6
[2025/11/19 11:44:32] 场景:Flat    | 视觉:15.9  | 车辆:12.0  | 预测:15.1
[2025/11/19 11:44:32] 场景:Flat    | 视觉:16.5  | 车辆:12.0  | 预测:15.6
[2025/11/19 11:44:32] 场景:Flat    | 视觉:17.1  | 车辆:12.0  | 预测:16.1
[2025/11/19 11:44:32] 场景:Flat    | 视觉:17.7  | 车辆:12.0  | 预测:16.6
[2025/11/19 11:44:32] 场景:Flat    | 视觉:18.3  | 车辆:12.0  | 预测:17.0
[2025/11/19 11:44:32] 场景:Flat    | 视觉:20.1  | 车辆:12.0  | 预测:18.5
[2025/11/19 11:44:32] 场景:Flat    | 视觉:21.9  | 车辆:12.0  | 预测:19.9
[2025/11/19 11:44:32] 场景:Flat    | 视觉:25.5  | 车辆:12.0  | 预测:22.8
[2025/11/19 11:44:32] 场景:Flat    | 视觉:27.3  | 车辆:12.0  | 预测:24.2
[2025/11/19 11:44:32] 场景:Flat    | 视觉:29.7  | 车辆:12.0  | 预测:26.2
[2025/11/19 11:44:32] 场景:Flat    | 视觉:30.9  | 车辆:12.0  | 预测:27.1
[2025/11/19 11:44:32] 场景:Flat    | 视觉:33.9  | 车辆:12.0  | 预测:29.5
[2025/11/19 11:44:32] 场景:Flat    | 视觉:36.3  | 车辆:12.0  | 预测:31.4
[2025/11/19 11:44:32] 场景:Flat    | 视觉:38.1  | 车辆:12.0  | 预测:32.9
[2025/11/19 11:44:32] 场景:Flat    | 视觉:39.3  | 车辆:12.0  | 预测:33.8
[2025/11/19 11:44:32] 场景:Flat    | 视觉:40.5  | 车辆:12.0  | 预测:34.8
[2025/11/19 11:44:32] 场景:Flat    | 视觉:41.1  | 车辆:12.0  | 预测:35.3
[2025/11/19 11:44:32] 场景:Flat    | 视觉:42.3  | 车辆:12.0  | 预测:36.2
[2025/11/19 11:44:32] 场景:Flat    | 视觉:42.9  | 车辆:12.0  | 预测:36.7
[2025/11/19 11:44:32] 场景:Flat    | 视觉:43.5  | 车辆:12.0  | 预测:37.2
[2025/11/19 11:44:33] 场景:Flat    | 视觉:43.8  | 车辆:12.0  | 预测:37.4
[2025/11/19 11:44:33] 场景:Flat    | 视觉:44.1  | 车辆:12.0  | 预测:37.7
[2025/11/19 11:44:33] 场景:Flat    | 视觉:44.4  | 车辆:12.0  | 预测:37.9
[2025/11/19 11:44:33] 场景:Flat    | 视觉:44.7  | 车辆:12.0  | 预测:38.2
[2025/11/19 11:44:33] 场景:Flat    | 视觉:45.3  | 车辆:12.0  | 预测:38.6
[2025/11/19 11:44:33] 场景:Flat    | 视觉:46.2  | 车辆:12.0  | 预测:39.4
[2025/11/19 11:44:34] 场景:Flat    | 视觉:48.0  | 车辆:12.0  | 预测:40.8
[2025/11/19 11:44:34] 场景:Flat    | 视觉:49.5  | 车辆:12.0  | 预测:42.0
[2025/11/19 11:44:34] 场景:Flat    | 视觉:52.2  | 车辆:12.0  | 预测:44.2
[2025/11/19 11:44:34] 场景:Flat    | 视觉:56.1  | 车辆:12.0  | 预测:47.3
[2025/11/19 11:44:34] 场景:Flat    | 视觉:57.9  | 车辆:12.0  | 预测:48.7
[2025/11/19 11:44:34] 场景:Flat    | 视觉:58.5  | 车辆:12.0  | 预测:49.2
[2025/11/19 11:44:34] 场景:Flat    | 视觉:59.1  | 车辆:12.0  | 预测:49.7
[2025/11/19 11:44:34] 场景:Flat    | 视觉:59.4  | 车辆:12.0  | 预测:49.9
[2025/11/19 11:44:34] 场景:Flat    | 视觉:59.7  | 车辆:12.0  | 预测:50.2
[2025/11/19 11:44:34] 场景:Flat    | 视觉:60.0  | 车辆:12.0  | 预测:50.4
[2025/11/19 11:44:34] 场景:Flat    | 视觉:60.3  | 车辆:12.0  | 预测:50.6
[2025/11/19 11:44:34] 场景:Flat    | 视觉:60.6  | 车辆:12.0  | 预测:50.9
[2025/11/19 11:44:34] 场景:Flat    | 视觉:60.9  | 车辆:12.0  | 预测:51.1
[2025/11/19 11:44:34] 场景:Flat    | 视觉:61.2  | 车辆:12.0  | 预测:51.4
[2025/11/19 11:44:34] 场景:Flat    | 视觉:61.5  | 车辆:12.0  | 预测:51.6
[2025/11/19 11:44:34] 场景:Flat    | 视觉:61.8  | 车辆:12.0  | 预测:51.8
[2025/11/19 11:44:34] 场景:Flat    | 视觉:62.1  | 车辆:12.0  | 预测:52.1
[2025/11/19 11:44:34] 场景:Flat    | 视觉:62.4  | 车辆:12.0  | 预测:52.3
[2025/11/19 11:44:34] 场景:Flat    | 视觉:62.7  | 车辆:12.0  | 预测:52.6
[2025/11/19 11:44:34] 场景:Flat    | 视觉:63.0  | 车辆:12.0  | 预测:52.8
[2025/11/19 11:44:34] 场景:Flat    | 视觉:63.3  | 车辆:12.0  | 预测:53.0
[2025/11/19 11:44:34] 场景:Flat    | 视觉:63.6  | 车辆:12.0  | 预测:53.3
[2025/11/19 11:44:34] 场景:Flat    | 视觉:63.9  | 车辆:12.0  | 预测:53.5
